Run ID,Fuel Use: Natural Gas: Total (MBtu),End Use: Natural Gas: Heating (MBtu),End Use: Natural Gas: Hot Water (MBtu),End Use: Natural Gas: Range/Oven (MBtu),Load: Heating: Delivered (MBtu),Load: Hot Water: Delivered (MBtu),Load: Hot Water: Tank Losses (MBtu)
13274,79.604,64.096,12.732,2.776,49.75,6.105,3.748
11523,139.403,121.944,11.911,0.0,94.148,5.657,3.571
1933,54.755,34.431,16.446,3.878,26.214,10.85,2.104
3658,73.347,56.628,13.487,3.232,53.598,6.78,3.668
11375,27.63,16.321,9.373,0.0,13.111,3.328,3.934
1761,85.387,72.658,11.27,0.0,49.075,4.913,3.808
6544,80.049,69.315,10.734,0.0,65.588,8.095,0.0
3036,43.028,35.838,6.072,0.0,33.663,2.722,2.064
6776,49.397,26.106,19.603,3.688,24.352,11.275,3.832
6312,14.187,1.497,12.691,0.0,1.395,6.133,3.699
11943,92.524,73.548,13.109,2.776,60.665,6.24,3.905
1137,19.66,11.174,8.486,0.0,10.575,2.053,4.522
5597,8.846,0.079,8.768,0.0,0.064,4.493,2.299
6120,31.005,15.686,12.121,3.198,12.712,5.557,3.833
3452,133.345,123.74,7.749,1.856,100.107,2.236,3.768
10865,97.946,90.707,5.383,1.856,85.846,2.173,2.071
2746,91.724,76.985,12.793,0.0,72.852,6.271,3.639
5563,100.296,84.258,10.681,3.232,66.019,8.054,0.0
7006,173.582,161.181,9.928,0.0,131.594,4.209,3.474
8872,23.837,13.646,10.191,0.0,12.765,3.793,4.102
2574,61.704,49.53,12.174,0.0,40.66,5.597,3.834
12964,63.022,52.59,8.3,2.132,49.387,4.324,2.218
7462,164.684,147.784,13.569,3.331,120.726,6.887,3.624
11372,28.101,23.988,4.112,0.0,19.775,3.101,0.0
6923,13.685,10.74,2.944,0.0,8.691,0.0,2.322
1108,110.354,102.167,8.186,0.0,80.568,2.445,3.898
1934,15.211,9.482,5.729,0.0,6.213,0.0,4.439
13273,117.21,75.018,18.294,0.0,61.19,10.483,3.673
6749,110.787,95.649,15.138,0.0,77.966,7.931,3.797
9701,87.907,69.367,15.59,2.951,55.94,8.364,3.713
11716,193.77,181.189,12.582,0.0,149.452,5.868,3.869
80,12.083,6.419,5.665,0.0,5.156,0.0,4.39
920,108.476,86.77,17.827,3.878,71.176,9.976,3.819
13041,63.996,45.974,12.746,3.331,43.52,6.286,3.589
5904,19.926,8.755,8.801,2.371,6.976,3.099,3.72
74,61.507,49.772,9.603,2.132,46.953,3.816,3.624
7039,35.114,19.071,12.792,0.0,17.897,7.927,2.149
12731,83.592,62.375,21.217,0.0,49.511,12.731,3.687
10066,25.123,17.605,7.518,0.0,14.286,3.805,2.12
2779,39.683,26.241,11.221,2.221,21.279,4.782,3.912
3656,64.28,56.736,7.543,0.0,46.206,2.118,3.726
1333,25.124,22.243,2.881,0.0,14.855,0.0,2.272
6572,55.91,36.187,13.093,3.201,29.847,5.776,4.368
1757,70.929,59.451,9.158,2.319,48.763,3.119,3.976
115,61.624,50.167,11.457,0.0,34.104,5.082,3.794
13048,24.53,14.53,8.103,1.897,13.365,2.445,3.833
929,157.855,142.735,12.344,2.776,97.035,5.638,3.914
327,82.999,69.658,10.974,2.367,65.504,4.895,3.606
7454,9.857,4.678,5.179,0.0,3.798,0.0,4.009
10639,196.668,182.893,13.776,0.0,150.869,7.087,3.585
1591,18.944,6.266,8.846,1.897,5.589,2.76,4.093
5131,91.935,66.092,17.143,3.688,54.139,9.624,3.657
7666,96.968,80.854,12.783,3.331,66.676,6.44,3.463
4487,79.94,58.71,21.23,0.0,55.201,12.722,3.707
12738,31.508,24.162,7.346,0.0,22.716,2.046,3.645
9996,46.776,33.091,11.318,2.367,31.249,4.94,3.828
7030,45.999,31.957,10.791,0.0,29.939,6.347,2.154
2542,76.415,51.489,18.608,3.688,39.843,10.49,3.91
3490,74.02,54.661,16.127,3.232,44.983,8.739,3.755
9737,92.221,81.782,10.438,0.0,55.386,4.464,3.624
318,18.473,15.632,2.842,0.0,11.053,0.0,2.24
4814,128.953,111.42,17.533,0.0,105.457,9.83,3.753
13245,124.5,103.311,17.501,3.688,81.517,9.445,4.112
13077,33.922,22.853,6.376,2.221,21.63,4.808,0.0
11344,73.405,51.941,17.559,3.904,40.134,9.617,3.986
9161,245.095,230.577,11.853,2.665,189.983,5.45,3.723
6915,123.316,79.569,11.426,2.944,61.977,7.121,1.879
11176,55.235,41.427,10.95,0.0,32.25,4.76,3.724
3669,70.337,47.481,18.978,3.878,38.536,10.673,3.952
1902,91.589,75.069,12.123,2.776,69.665,5.714,3.678
5758,40.286,30.688,9.598,0.0,23.164,3.795,3.64
11182,96.82,85.63,6.741,2.319,70.155,3.126,2.185
8275,25.755,19.824,5.932,0.0,18.412,2.496,2.18
12707,23.488,13.781,9.707,0.0,10.281,3.698,3.822
5932,95.553,80.755,14.797,0.0,65.812,9.641,2.022
12363,74.367,47.734,9.457,0.0,39.377,3.574,3.745
13083,61.701,45.949,9.886,2.776,43.028,5.532,2.26
2925,119.122,103.216,12.675,3.232,80.218,7.876,2.114
2119,25.92,20.77,5.15,0.0,17.134,3.883,0.0
7037,61.552,35.65,21.476,4.426,27.392,12.807,3.812
11388,16.509,4.197,12.313,0.0,3.942,5.542,3.997
2545,13.341,4.021,9.32,0.0,3.646,3.39,3.83
4480,114.665,94.865,15.749,0.0,88.913,8.302,3.898
11986,46.522,37.656,6.496,2.371,31.025,2.854,2.266
1596,34.249,24.392,9.857,0.0,19.073,3.666,3.97
2313,14.95,4.45,8.129,2.371,4.213,2.715,3.583
5304,102.666,84.418,11.209,3.331,68.38,6.912,1.922
6747,35.796,23.142,9.871,2.783,21.399,3.763,3.884
11718,56.582,43.313,13.27,0.0,40.811,6.492,3.788
4222,29.959,19.072,10.887,0.0,14.962,4.903,3.531
9159,18.728,7.288,11.44,0.0,5.74,4.994,3.869
1334,13.261,3.892,7.473,1.897,3.121,2.186,3.604
4646,140.667,123.06,14.292,3.316,95.109,10.778,0.0
5794,87.535,65.565,18.092,3.878,53.078,10.1,3.916
4474,37.727,22.566,12.385,2.776,18.355,5.759,3.835
3651,102.139,84.585,15.428,0.0,69.429,8.123,3.829
8424,81.651,69.809,11.842,0.0,56.634,7.159,2.174
8616,41.212,26.174,15.038,0.0,24.719,7.765,3.872
5935,133.432,119.05,11.607,2.776,97.248,5.214,3.731
12364,7.855,2.545,5.309,0.0,2.04,0.0,4.114
10057,34.729,26.659,8.07,0.0,21.872,2.494,3.758
8272,91.335,80.207,8.757,2.371,75.919,3.25,3.534
9192,73.364,56.074,9.447,2.371,45.783,3.579,3.74
8286,34.955,20.085,11.672,3.198,15.126,5.154,3.889
4679,70.33,55.94,11.804,2.586,45.248,5.194,3.941
13070,172.819,153.391,16.196,3.232,124.58,8.791,3.742
3804,41.546,33.019,8.527,0.0,25.937,3.171,3.436
7498,61.787,42.096,12.228,0.0,39.67,5.577,3.896
3038,13.09,7.94,5.15,0.0,7.438,0.0,3.991
11515,158.021,139.087,18.934,0.0,85.72,10.86,3.808
9730,46.559,33.254,13.305,0.0,26.937,6.479,3.829
13242,38.653,8.207,11.432,3.198,7.651,5.226,3.631
6438,44.904,35.477,9.426,0.0,24.114,3.538,3.765
